nombre,precio,cuotas,imagen,categoria,descripcion,caracteristicas,modo_uso,calificacion,num_calificaciones
Caja pads algodon suave sin pelusa 150pc #20082,6200,1,productos/caja-pads-algodon-suave-sin-pe.jpg,skincare,Caja pads algodon suave sin pelusa 150pc #20082 - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Caja x10u parches removedor puntos negros Ymxercos,1800,1,productos/caja-x10u-parches-removedor-pu.jpg,skincare,Caja x10u parches removedor puntos negros Ymxercos - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Caja parche para acne 48pc Kormesic,2700,1,productos/caja-parche-para-acne-48pc-kor.jpg,skincare,Caja parche para acne 48pc Kormesic - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Kit ice globes 2pc City girls rosa/celeste,10000,1,productos/kit-ice-globes-2pc-city-girls-.jpg,skincare,Kit ice globes 2pc City girls rosa/celeste - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Esponja celulosa City Girls pack x2u,1400,1,productos/esponja-celulosa-city-girls-pa.jpg,skincare,Esponja celulosa City Girls pack x2u - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Esponja celulosa limpieza facial pack 2u,1400,1,productos/esponja-celulosa-limpieza-faci.jpg,skincare,Esponja celulosa limpieza facial pack 2u - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascara facial gel frio descongestivo,4500,1,productos/mascara-facial-gel-frio-descon.jpg,skincare,Mascara facial gel frio descongestivo - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascara gel frio contorno de ojos descongestivo,1300,1,productos/mascara-gel-frio-contorno-de-o.jpg,skincare,Mascara gel frio contorno de ojos descongestivo - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascarilla de colageno labios x10u,4000,1,productos/mascarilla-de-colageno-labios-.jpg,skincare,Mascarilla de colageno labios x10u - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascarilla facial Bling pop palta,1500,1,productos/mascarilla-facial-bling-pop-pa.jpg,skincare,Mascarilla facial Bling pop palta - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascarilla facial Bling pop aloe,1500,1,productos/mascarilla-facial-bling-pop-al.jpg,skincare,Mascarilla facial Bling pop aloe - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascarilla de colageno ojeras x10u,4000,1,productos/mascarilla-de-colageno-ojeras-.jpg,skincare,Mascarilla de colageno ojeras x10u - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
Mascarilla negra peel off x10u,2800,1,productos/mascarilla-negra-peel-off-x10u.jpg,skincare,Mascarilla negra peel off x10u - Skincare,"Producto de Skincare
Producto de calidad",-,5,0
